Occupational Level
Top management
Senior management
Professionally qualified and experienced specialists and midmanagement
"Skilled technical and academically qualified workers, junior management, supervisors, foremen, and superintendents"
Semi-skilled and discretionary decision making
Unskilled and defined decision making
